,0,1
0,喜欢闺蜜[爱心],说好不哭i👏
1,短视频刷着刷着就来了,迷己已
2,就喜欢这种一次性更完的剧！,奔跑在孤傲的路上😚😚
3,什么烂剧,Ms. Zheng
4,抖来的，居然是一次性更完,有1点点点点烦
5,跟泰剧撕心裂爱一样的剧情[捂脸笑],187****5191_m1826
6,哪里知道错了,喜欢喝饮料的王叔雯丽
7,这本电视多多少少有点浮云我了[微笑],佳佳fjh
8,看简介有够狗血的，暂时先不看了,雪夜星空等你到来
9,就喜欢这种一次性更完的剧！,阳光的狄仁杰🍍🍰
10,这个跟一个泰剧很像啊,诺🍀～
11,就喜欢这种一次性更新完的剧。不管好不好看，先给五星好评。这时长也太短了吧。,七宝茶
12,狗血但是上头,喜欢喝饮料的王叔雯丽
13,这女的太脆弱,喜欢喝饮料的王叔雯丽
14,女主是那个就是宋茜那部剧里面的那个小菊，专门为了她而来,想变成公主的平民女
15,所以不能看上凤凰男,喜欢喝饮料的王叔雯丽
16,我也想有这样的朋友,喜欢喝饮料的王叔雯丽
17,爱奇艺出微短剧了，必须支持！,奔跑在孤傲的路上😚😚
18,这钱花的,喜欢喝饮料的王叔雯丽
19,节奏挺紧凑的,喜欢喝饮料的王叔雯丽
20,又有新剧追了，更全集很棒啊！,翩然入君怀
21,闺蜜很不错,喜欢喝饮料的王叔雯丽
22,爱了爱了[色],surrender
23,这剧简直和泰剧那个一模一样呀。。。。,🐤 luck girl
24,好好看[色]追剧下去哦,liyh8755
25,闺蜜很不错6017,ℳঞ心꧔ꦿ之᭄꧔ꦿ 所愿꧔ꦿ᭄😄
26,屏幕外都能闻见一股绿茶味[大拇指][呲牙],三 奘i
27,让她去吧,善行肥天使
28,最讨厌短剧,水灵珠🍀
29,霸气打渣男,笑呵呵的暮雪流年
30,这句话虽然很冒犯，我就问下这个男的是不是射手座 哈哈哈哈哈哈 跟我前女友太像了,用户1998e60400542
31,都二十一世纪了，还有这么下头的剧，可是我有点喜欢怎么破！,帐篷与帆布
32,光看简介，就跟那个泰剧一样，没意思,鹏程万里Kevin
33,这个剧情看着有点上头呀[666][666][666],蜗牛霜🍁
34,好精彩，又是手撕渣男和绿茶的好戏,番茄炒蛋吃
35,小薇会不会抢她闺蜜的男友呢[捂脸笑],♡啦啦💘
36,挺好看，喜欢看这个，赞👍,兜兜donglei
37,看了还行,半逸半昕
38,"预告不错
",小新蜡笔幼稚的
39,这部剧感觉挺上头的，个人感觉。打发时间可以追追。[应援],花花 花
40,这个剧情可以啊，我喜欢[666][666],姚冬梅
41,樊晓薇插足别人的爱情也不能得到爱情啊,寒风吹羽
42,樊晓薇被渣男伤害后又喜提一个新的渣男,rin_kkk
43,抖来的，居然是一次性更完，哈哈哈，开心~,毒蘑菇红薯
44,好喜欢闺蜜抢男朋友的剧,屿絔
45,这不就是泰剧翻拍的,YuanLi610
46,绿茶一哭二闹三上吊[微笑],花花 花
47,有点上头[捂脸笑][捂脸笑][捂脸笑][捂脸笑][666][666][666][666],熊方_qq2106
48,wow[应援][应援]来给pp捧场,Alyona-蔓崎
49,个人觉得有点上头，可以打发时间看看。,分发给s
50,这个导演可以，是懂狗血的，哈哈哈哈,哇女5
51,这是我看过的电视剧最烂的一部,最美海岛渔家
52,看完了啊阿啊阿啊，就是觉得太短了，没爽够！！！！,天天好心情牙
53,闺蜜带回家住准没好事！心大的女主服啦,鹿🦌往前冲
