,0,1
0,西藏打工几年，太喜欢这里了。这里的人有没有钱都很开心。活的幸福。,🎈喔～
1,新衣服，精致的妆，这是贫困地区吗？,朱玉波🌟
2,这简介谁写的克服困难写成客服困难，也是绝了[捂脸笑],小瓶盖呀🐒
3,在赵婷婷演的李霞让人特别讨厌，李雫上杆子自己去找欧阳，,快乐女孩Katherine
4,这位叫拉姆的姑娘说话表情太夸张了,M r .铁打的姑娘不锈钢
5,这电视剧拍的无语 首先说话竟然老年入都讲普通话 而且西藏题材电视剧 没有西藏话是不是看起来怪怪的，一会儿现代剧 一会儿藏剧  ,罗爻爻
6,这没好看的剧，怎么没人看呢[捂脸笑][捂脸笑],爱你浅蓝流光
7,网上不是说臧民挺有钱的吗？,平安足够🎁
8,拉次去世了父亲家人很伤心事情,帅哥美男子👪👭👬👭
9,就是感觉藏族人民不是这个口音，普通话太标准了,王投手
10,欧阳南来到西藏巴古乡嘎村工作,帅哥美男子👪👭👬👭
11,李霞既然看上了马县长。李霞这个女的知道权利比金钱重要。,幻影车神（君临天下）
12,雪莲花不是应该在新疆天山吗？,hwewin
13,最好的朋友去世了,帅哥美男子👪👭👬👭
14,欧阳南救人李霞事情,帅哥美男子👪👭👬👭
15,哭个啥，出去闯闯不是好事吗,蚊子Gavin
16,我们用的档案盒是延续五五年的[应援],飞跃时枭
17,李霞勾引马县长,幻影车神（君临天下）
18,所以还是要读书，眼界会更高，看得越远。,只若初见😝Kylie
19,太好看了吧[捂脸笑][捂脸笑][捂脸笑],德和祥瑞
20,怎么这两天都不跟新了,用户4de5da8c
21,穿的衣服这么好,十四岁7626
22,那么穷应该走出去打拼,58同城😝
23,来看刘向京,是举第阿
24,不错，好看，多怕一些少数民族的电视剧。,rtrthyth
25,剧不火是真烂呀,慧眼看二B
26,为什么那么快就离开，我还想看着他们幸福,只若初见😝Kylie
27,格桑花盛开的地方  [微笑]   雪莲花盛开的地方  感觉也是脱贫攻坚剧,用户54663329
28,哭个啥，应该出去闯闯,爱吃水果摘子草苺西瓜
29,没有人看吗,💦  雨滴💦
30,播到啥时候啊,188****6265_m2723
31,真的太真实了！我在拉萨六年多真的变化太大了！点赞👍,用户641b4d31
32,这人是真是还是贾氏呀,用户5f4563df
33,才上啊,天地争霸美猴王天地有情
34,"来了
",萨尔马特🛡️🏆🤘👾
35,好看,鱼小怨
36,感觉很不错,海棠soso
37,包场了就我一个人看,tyqa
38,如果音能配成藏语会更好！,流云137❤️
39,好地方，山清水秀，羡慕了,佳檬宝贝
40,年轻人出去闯闯没啥不好的，,自己看的起自己
41,看的太出戏了，什么编剧,梁清1
42,不是说生离死别，我也95年出去打工那时的通讯不发达，还写信，我妈妈送也哭那就是我见我妈妈最后一次,卜卜竹火木火
43,我陪你看,爱吹笛子の公上尔风
44,草原真美,光纤和碎
45,老一辈人,光纤和碎
46,大学生有点老,浅唱话悲凉
47,厦门金龙，2012年我买了←一辆,梁哥 梁哥
48,女主好漂亮，不是网红脸,用户945dd7cc
49,曾经自驾游去过两次，以后有机会还得去,当过班长——李彪
50,没被开发的地方环境都很美,用户9440b517
51,刚刚出来这首歌的时候我还未成年 现在都老了😂,何时赵我还
52,其实不要什么煽情，像山海情那样拍，就好看,yitong105
53,希望下次用藏语，我可以看字幕,yitong105
54,拖拉机沦陷了，二零一几年才有,喜欢记忆的女孩
55,就不爱听医生说我们尽力了,小老头.
56,风景不错,谢潮广
57,真能吹牛逼哄哄,仉佃功
58,比放羊好,用户68ff0e40
59,属实怪那女的,用户93a762ac
60,草原一枝花,用户945dd7cc
61,走，可以理解,喜欢看电视de羊舌华采
62,好美的地方我喜欢,不想去西藏😄
63,车也不要了？,喜欢吃苹果de公羊香馨
64,开局地狱副本！,喜欢吃苹果de公羊香馨
65,打瓦，怕瓦落地,喜欢吃苹果de公羊香馨
66,你是猪，汽车兵，没驾照,爱喝红酒的闻人寒天
67,95年这么时髦的吗,乔燕喆宝
68,又不是不回来，什么思想,大•楞
69,还有拖拉机,木子木杉63
70,该出去闯闯,132****3507_m1150
71,早晚和你分,肖学神
72,卓玛这演技还可以,十分好七
73,李霞真是,大少的甜言蜜语
74,卓玛漂亮,追剧寻缘
75,为什么不叫喜玛弱,爱喝粥的司徒玟玉
76,赵刚来做政委了,来自世界最大的村
77,女的反应不行，害人,👑 ꧁༺蝶舞༻꧂👑
78,那年我大学毕业了,138****2341_m1935
79,不像西藏人,懂你425
80,该出去闯闯,光纤和碎
81,不是主演,小老头.
82,遇到雪崩了吧,小老头.
