,0,1
0,都说好看，我看着没感觉,超爱懒床de刘傅烨然
1,出，卧底归来2,爱吃橙子の公玉清韵
2,"没剧了都看啥呢
",马小羊🐑
3,想看雨神所以来了,用户@c1dd58641fc00
4,真的值得看的，一部好剧,Lh画风突变
5,不要再问这是哪个城市了，鹏城鹏城，鹏城不就是深圳吗,我最烦女人🌼
6,"我申哥剧没有差的，申哥以后哪怕没戏演，接剧本也接好的，口碑就出来了。以后我们一看到申哥，会毫不犹豫点进来的。

",沾沾自喜买哥哥
7,把秦海璐换了，肯定爆火，算了，不看了，,农军旅局
8,林雨申整容了吗？怎么看起来怪怪的,牧野春风🤟
9,只要是林雨申的 一部没有落下过[色],หก หนึ่ง
10,秦海璐是不是脸部做过手术,飞扬老师🍭
11,秦海璐演啥像啥,漂在海面的小老鼠
12,秦海璐呈现出独特的魅力和个性，全员演技棒棒哒,zheng经货
13,下巴尖少一块骨头一个塌陷,灵动的水滴！
14,有什么好看的穿越剧？？？,自在逍遥鹏GG
15,秦海璐  老了  演的好尴尬,爱的春天华尔兹
16,一个公司的技术研发部门是最烧钱的、绝不是一朝一夕就可以成功的、没有强大资金支持是做不下去的,独角仙神
17,相比较一大堆国产剧，《青春之城》绝对品质剧，豆瓣果断打满分。,用户1adb39e40266c
18,热依扎的演技真的是挺好的[色],乐呵乐呵呵呵哒
19,都看啥片子尼,小可爱^_^吃不饱
20,秦海璐和感觉像是脸浮肿啊,liao6277
21,秦海璐表演让人真正地感同身受，我觉得还是很不错的,肾宝味道好极了_w
22,谁给秦海璐搭的衣服 ,偶尔爱奇艺一下
23,如何投频,喜欢玩皮化艇de赫连苑杰
24,抖音看了朱雨辰教孩子学习片段来追剧，我也马上要经历这个阶段，[捂脸笑],♚梅╮
25,喜欢秦海路。,泪舞樱花888
26,来看申哥,予情123
27,秦海璐总爱演这种看起来立意特深远，但是又毫无看点，不走心的电视剧。可以算是她们那个年龄段的烂剧女王，票房毒药。,只写真实感受
28,感觉不像是2023年的电视剧啊，画面不清晰[捂脸笑],这不是我嘛？
29,老成这样儿没法演的、该休息了,静WU……
30,这么好的电视剧，今年不排第一名。比我是谁差？比狂飙差？这个剧就应该火，每个演员都演技狂飙[大拇指][大拇指]。今年最好看的一个剧。,❥礼服ゝ
31,没有人愿意做基础研究，习惯了实用，抄近路,用户4309c06401329
32,为林雨申来,丑到掉渣_
33,绝对是好剧值得一观，[666][666][666]推荐大家一定要看不会后悔的,2387702600
34,看看医生怎么说呢啊啊啊啊啊啊好好好啊啊啊啊啊啊啊好好好好好好好好好好好明年了呗是这样睡会引起的话我爸说呢，啊啊啊啊啊啦你就不怕传染那么病人已经是阳苏,用户@c2139a241db40
35,爱我大深圳,用户@dbf94ac419800
36,秦海璐能够把握好角色的情感走向和节奏，编剧真的还不错,习惯被你宠2rfe
37,这个剧越往后越好看。,用户1adb39e40266c
38,这电视剧演的，一个研究机器人，一个拯救公司，一个为了自己的青春不白费，一个为自己的梦想在奋斗，这种电视剧狗得是不是意义是什么，他们两这个角色白瞎了,用户@cb870de41aa40
39,秦海璐的表演让人觉得非常舒服和自然，演员演技也都自然流畅,椿慵_33
40,结局莫名其妙,柒夕. .
41,国剧太难看了，不如泰剧,用户6a876977
42,真的很正能量呢，可以追,感觉卡了我
43,不好看的不要VIP好看的要V丨P[呲牙],激萌哒
44,为了雨申哥[应援][应援][应援],爱吃荔枝的延陵艳蕊
45,秦海璐能够通过微妙的表情和动作展现出角色的情感起伏，剧情紧凑,感情泛濫的小孩_
46,这部剧值得细品[大拇指],用户1adb39e40266c
47,抖音过来，,风啸云涌30
48,有些台词很有道理，是好看的没错,黑羊_卵ww
49,喜欢秦海璐的霸气！,牧羊人～薰
50,2012年还没有白石桥。,大黎呢
51,好看不好看,程小寅
52,珠海取景,大黎呢
53,来看春雨沙沙沙[应援],甜.不加餹
54,秦海璐能够将角色的激情和冲动展现得非常饱满和真实，导演镜头精准，没有废话,巧克力慕斯_3
55,家里我们自己哪天[呲牙],用户@c2139a241db40
56,专门为朱雨辰来的,二的很文艺
57,秦海璐能够让观众深刻地感受到角色的内心情感，片头太惊悚了,吃冰棍嘛rfq3q
58,第一集第十五分钟的老外观点，很扎心[捂脸笑],Mellenazou
59,这陆路看的人气死了，也不知道他能干啥，还第一个做逃兵,PercyWong
60,一部题材很好的电视剧，政府，企业家，科技工作者，为中华民族伟大复兴激励前行！,ZHANGguoxin0809
61,是理想之城的姊妹篇吗[捂脸笑][捂脸笑][捂脸笑][捂脸笑],画裳💪
62,怎么感觉都整容了,超爱摔跤の叱利旭尧
63,剧情向的剧真的越看越上头，演员和编导继续保持水准,栖寺_e3
64,配音咋那么别扭呢，[捂脸笑],顺其自然666666668
65,"夏总有情感有魄力！国家需要这样的企业家！
祖国的伟大复兴需要她们！企业家不只需要赚钱，而是有长远的未来！",ZHANGguoxin0809
66,眼泪真的忍不住，开局就让人激动,甜的尴尬_33
67,没人觉得字幕很奇怪吗？,孤寒的夜
68,编剧扎实，剧情紧凑，科技实业人物角色的年龄性格言行贴切，全员演技在线，紧接地气却又大气磅礴，英雄和小民们的家国情怀，可信，可敬！,冰箱空了
69,适合全年龄段观众。，刚开始那剧情真的有点感人,比你还萌_33
70,冲着林雨申来的~[色][色][色][色],不死印lg
71,今天咋没更新,狼帝👍
72,绝对是大手笔制作，很吸引人，有时候还会被吓到,少女收发室_233
73,冲着演员来的，秦海璐，果静林（男），等等，剧情且在看看再评论……,爱别离19980818
74,一点也不清楚，什么年代了，清晰度还这么低[捂脸笑][捂脸笑][捂脸笑],用户47064a44016af
75,因看房那段视频，开启追剧之旅[应援],爱你长久MXY
76,好剧，为啥看的人这么少，真的超级好看,爱喝黄酒的申屠白梦1
77,黄金会员又不配高清了吗,姝姝要加油
78,秦海璐对角色和剧情的深入理解和把握，感觉质感好好呀,俺媳妇说俺长得帅_2_
79,有一集砸化学实验室吗？不起反应？,用户8c1a1eac
80,最近好几部电视剧都是在重庆拍的,驾着蜗牛狂奔。
81,无法停止的喜欢，演员们的精彩演绎看得让人目不转睛,甜入你心底_
82,这部剧看着怎么这么模糊,李星泽宝宝
83,男神，好几年没新剧了，有点老了,阳光光😗
84,秦海璐发胖的没发看[捂脸笑],万恶的青年灬
85,为啥不更新了,OO87
86,不知道怎么样,啊啊 开心
87,秦海璐长成个球了,上致君下泽民
88,没更新勒,怪比121
89,为什么还没有更新？？？？,喜欢吃烧烤的独孤飞舟
90,值得广大青年观看的好剧，热血，开头高能，全员演技在线,未驯化的狐狸3r23
91,看完了来评价，后边越看越喜欢，难得的品质剧，极力推荐。幽默风趣，能学到很多东西，有营养，果断满分。,用户1adb39e40266c
92,人这么少吗？,一家亲特色快餐
93,秦海璐能够深刻地刻画出角色的内心独白，我觉得还是很不错的,嘴角的樱桃汁3re2
94,怎么感觉有点跳戏,A延婷
95,这是在深圳拍的吧？,匿名用户
96,好久没见黄维德演的剧了[应援][应援][应援][应援][应援]喜欢秦海璐[应援][应援][应援][应援][应援],画裳💪
97,喜欢林雨申的电视。,泪舞樱花888
98,无论是哪个角色，秦海璐都能够完美地驾驭， 剧本让我爱了,萌酱_小可爱_ε
99,看的人心难受，都是失败，电视剧太长,喜欢摔跤的公广以莲
100,无论是哪个角色，秦海璐都能够完美地驾驭，太刺激了,不酷但很软233
101,秦海璐能够轻松地切换不同的情绪和状态，算是提供补充了新细节，好几个演员神选角,抓到一只小可爱41 q
102,方远舰造机器人太烧💰了。,幻影车神（君临天下）
103,不愧是我放入追剧列表里的电视剧，这个开头就比其他几部多了,韭菜酱果
104,无论是哪个角色，秦海璐都能够完美地驾驭，这个故事我爱了。,拾晨雨
105,这部剧好像以格力电器为原型,paper0001
106,秦海璐能够深刻地理解和刻画角色的内心世界，这个开头就比其他几部多了,蜗牛也放屁_w_
107,秦海璐的表演非常细腻和抓人，感谢所有演员，这部剧值得这么多夸赞,想飞的仙女x3
108,品质剧，郑桦导演的开封府也好看啊。,麦田守望者Frank
109,又让我破防了，感谢所有演员，这部剧值得这么多夸赞,不卖萌_纯笑容
