,0,1
0,好好一部剧，被女主丑毁了，导演是不是收礼了，还是女主是空降来的，,追寻着的锦妹儿
1,除了何瑞贤，罗正搭的女主都太普通了,～简 ～
2,就喜欢看这种一次性更完的网剧[应援][应援],奔跑在孤傲的路上😚😚
3,小鱼也在这里面出镜了,anglemY.boy
4,不是怎么一堆人攻击女主，明明挺好看的啊，眼睛有问题就去医院看看,Alina zzzzzz
5,罗正都成了霸总专业户了，除了霸总就没别的可演了吗,海水漫过我的心灵
6,全集，建议以后电视剧都按照这样来,蛋黄馅月饼人
7,刚刚来看，当然是来看吕小雨小姐姐的[应援]，因为她的一部新剧我非常的like~真的好漂亮又可爱啊～,草草想看电视
8,男主演的好几部都是这个造型，我,漂亮的鑫鑫吖🍉
9,罗正终于不再搞双胞胎姐妹了[捂脸笑],素色丹青；)
10,来看周知斐咯[应援],栗子酱希希
11,又是这个大嘴巴男,赶紧去吃
12,感觉罗正只会演总裁,haha哈哈怪.
13,吕小雨这套拳还像模像样，比淑女飘飘拳里的演员打的强太多了,冲吧萌萌贵
14,罗正的每部剧都看[色],阿彩的蓝玫瑰
15,什么年代了女主这刘海发色土的要命,又拐又坏又怪
16,女主不能换一个吗，不好看,爱吃沙拉de格格
17,就是小鱼海棠探班那个剧吗,古惑女好看
18,我从去年就开始等这部剧，终于等到了。太不容易了，而且还提前播全集，太给力了吧，刷剧就应该这样，超喜欢这样的剧，尤其是罗正的，超甜超梦幻，粉红泡泡，心情好极了。,用户8b751dcd
19,#浑身反骨恋爱教科书#好喜欢罗正演霸总[捂脸笑],乌龟要平安
20,这男的是不是带资进组阿哈哈哈,来宝～🎁
21,"我忍住没有找你的时候 你是不是也在庆幸我没有烦你
",酸菜可乐ɞ
22,周知斐浑身上下都是反骨,乡音未改鬓毛衰🍡
23,为了看女配来的,用户83480dab
24,"我刚刚看完《心跳》，男主也是他～
",杨轩ee
25,这个剧曾经在小鱼海棠里面有过他演的那个在哪一集？,杨先生H🍁
26,#浑身反骨恋爱教科书#周知斐明明全身都是优良品格，就是少了一张嘴！对待合作伙伴的时候可以建答如流，但是对待喜欢的人的时候，却不怎么会说话。明明心里就是可以很快乐，但表现出来却不是这副样子,余音绕梁梁
27,我喜欢男主觉得超帅[大拇指][大拇指],春天的梅👍
28,这种无脑剧欺骗了多少少女,略略略略略略2006
29,罗正罗云熙是不是同一个人,罗乔波_qq1205
30,我想知道小鱼海棠的戏份还在吗哈哈哈哈哈,KETIANKEXIAN
31,这配音不搭,懂爱的人幸福一辈子
32,这个剧是不是给钱了啊怎么一直推点进来看见,y下雨天
33,怎么会有人说女主丑[微笑][微笑],禁止疯狂
34,#骑着鱼的猫名场面大赏#施花花本身就有着武功的基础，作为代言人，在台上表演的那一套拳法实在是太过于酷炫了！结果搞到半天，居然不是原本要找的那一个人，不过管他是谁呢？反正效果是挺不错的[捂脸笑],走进大自然，走进你
35,回到首页,Annie-欣
36,小红薯看到推荐过来的，想看罗正的剧[微笑],韵韵来了
37,男主整的不自然[捂脸笑],嘤嘤家de嘤嘤嘤
38,罗正的每部连续剧我都在看,5665445
39,全是18线吗？,V     8
40,男女主我不反感，也不能说丑，但是偶像剧男女主找他们确实很难火[捂脸笑],卡了咪🙊
41,看到女主就不想看了，罗正没有带火任何一个女主,爱潜水de王孙念寒
42,#骑着鱼的猫名场面大赏#中医少女给霸道总裁看病，九九八十一善的对象居然只有一个，师傅原本的希望背道而驰，一个又一个的场面，其实挺多的。让人看的挺爽快的，特别是看着周知斐最初气的要死，又打不过的样子，超赞的好不好,尘缘火火火火火
43,咋一个造型啊,爱爬山の太史笑萍
44,有那么一眼看着像杨蓉  点击进来看演员表却不是,爱吃冰棍de高堂梓彤
45,小鱼海棠好像参观过这部剧，不知道有没有客串给总裁送文件的戏码,66捏
46,#骑着鱼的猫名场面大赏#施花花上了台之后，表演的挺好的，最后来一句，我不是叶小姐。前面大家还夸叶小姐可真是好，就真的很搞笑啊，他们连人是哪一个都没有确定。还说比照片里的好，和照片里的根本不是同一个人，好吧？-_-||,🌸奢😄🌷
47,这男的是不是抖音上直播的那个？长得一样[发呆],AO珍
48,男主角演了好多总裁,浏览了路
49,#浑身反骨恋爱教科书#周知斐的恋爱和我们普通人的恋爱是不一样的。全程嘴硬到底，被恋爱对象气的要死，嘴上却不会说话，浑身还带有着反骨。这样的人能够找到女朋友，还是要感谢施花花收了他~,🌸奢😄🌷
50,演员罗正一直演同类型的角色，总裁专业户。希望有突破。,未知水JunJun
