,0,1
0,只要神经病才喜欢听二手玫瑰,小凡不会压弯🏍
1,这台词讲的 不看字幕都听不清在说什么[捂脸笑]看了十几分钟溜了溜了,ʚ🍪ིིྀɞ 奥利奥
2,我以为电影呢 原来电视剧[捂脸笑],关小胖1998
3,演员演的不尴尬吗,Holor⭐
4,能出第二季吗，好棒,duckblood
5,我可跟你说 是真的好看 画面拍的好 演的自然 关键是歌还好听 特别是第六集雪琴唱的那首《小柒》真的好好听,分裂的能量少女
6,没几年神经病史看不了二手玫瑰[呲牙],陌宸1
7,追着雪琴而来，挺好看的,liver.lv
8,看不下去了，忍着看了十来分钟，全是旁白,粉妹！🎐
9,真没意思,Holor⭐
10,讲真的不错期，为啥觉得看的人少呀[爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心],用户47af91ff
11,爱奇艺这上剧速度让人看不及啊,我也不知道咋起名💘
12,非常非常期待第二部，什么时候上呀，,留住那个月亮i
13,啥时候出第二季啊,大眼橙子⭐
14,因为李雪琴，这部剧能算是国内今年唯一没有开过倍数播放的剧了,三生有辛🎉
15,太好看了，第二季希望有100集[应援][应援][应援],楠nannnnn😗
16,有没有人跟我一样~磕雪琴和裁缝的cp的，好搭啊,177是vip
17,别的先不说，这运镜是真欣赏不了[捂脸笑],苍白墨古
18,就是一个段子剪接一个段子凑的！不多说了！看个热闹！喜欢就下饭看看！不喜欢也不用去诋毁啥！大不了不看呗[大拇指][笑哭],詹姆斯马达
19,Rapper和摇滚🤘🏻打起来了哈哈哈,喜欢唱歌的褚师珺娅
20,什么瘪犊子玩意,实话就实说
21,耶耶耶耶耶老好看了啦啦啦老爱看啦,l06♟
22,换个编剧吧,暗之法老王
23,太有意思了，没谁了，被低估的一部剧,summer桃子
24,我宣布，爱奇艺你这部电视剧火了🔥🔥。,其叶沃若6
25,这投屏后的字幕 跟蚂蚁一样小 [捂脸笑][捂脸笑][捂脸笑],张咔咔
26,孟鹤堂，金志文，李宗恒呢？不是说好的孵化情景喜剧吗？,Mr.Chris.Luk
27,龙姨的电视剧怎么能不看呢！[色],小朋友susu
28,第二季呢12集不够看啊 第二季 想看原班人马 可以加人 但是不能减人,牛逼哥哈哈🤙
29,一看有李雪琴，这剧完犊子了,小黄鸭太阳
30,为啥字幕字这么小,伟伦1
31,雪琴啊……姐尽力了！实在看不下去[捂脸笑],美丽而苍凉的手势
32,是那个情景喜剧改的吗,宁二姑娘♡﻿
33,有亿点意思[666][666],gzkenting
34,就我家字幕的字小吗？[捂脸笑],小韩Sean
35,热度咋这么少是还不知道吗,ting_qq6305
36,解忧杂货铺了解一下,H.🍿
37,第一次想主动打分的电视剧，真的是忍不住的笑出声[捂脸笑][捂脸笑][捂脸笑][捂脸笑][捂脸笑],童年正童趣
38,我觉得超越我心里预期，只是没什么剧看，无意间看到看看，我觉得真的很[呲牙]好看,窩窩頭，
39,应该火，因为有内涵,朕王之降临
40,投屏看不见字幕咋回事儿？,锁🔒爷
41,雪琴和梁龙？还没开始看就开始笑了哈哈哈哈哈,seasonK
42,孙越在哪呢[捂脸笑] 整个看完了也没找到吖,哈库呐 马塔塔🦄ིྀ
43,东北的喜剧，值得一看！[大拇指][大拇指][大拇指],jiangyuesy
44,之前不是恢复了720和1080的投屏吗？为何现在又只能投标清了？,暮冬-　Gentle°
45,赞龙婶儿，冒昧的说一声丑帅丑帅的还挺招人稀罕呢！大喊一声龙婶儿最帅，希望龙婶儿长命百岁一路长红！哈哈哈,养乐多多多88
46,一集看完一个笑点都没有,Holor⭐
47,[色][色][色]这片子还是可以的，不难看。雪琴未来可期。,我是熟人33
48,有大兵吗？,香烟祭天法力无边
49,字幕的字，太小了吧？,小猪哄哄⭐
50,只要是李雪琴演的，我都爱看，东北味儿浓，她也是为数不多的，为家乡宣传代言的明星，不忘本就值得我们这些家乡人支持她[应援][应援][应援],new维
51,不愧是二手月季 [应援],阿雅AYA18
52,老子有来看了 [应援],芮了个芮
53,来看学琴了,ting_qq6305
54,看着真不错啊 人那么少呢[微笑],小星星.何
55,拍的啥破玩意,不悔那些年
56,"《黏人俱乐部》比预料中还好看！

1. 每个人的演技不错，特别老艺人，眼神都是戏。
2. 搞笑不必说了，这群人在一起唠嗑都好笑。
3. 每集都有泪点，笑着笑着就哭了[捂脸笑]。但是，不是强行煽情，本人很怕春节那种按头哭的小品。
4. 编剧我非常喜欢，天马行空恣肆不羁如梦如幻，于荒诞中见情见理。每集一个故事，简单但是结构完整（这很不容易，现在多少电视电影连故事都讲不明白的）。除了第一集稍微平淡点，后面每集都堪比一部电影！特别要强夸一下第二集，每个循环环节的细节都不一样，但是和每个人的人设会做出的事情是完全吻合的。短短40分钟，差点让我笑死，又差点让我哭死。就连结局的反转都是那么合情合理，没有非要符合国情国法的别扭感！
5. 摄影，剪辑，灯光都很在线，有种电影的质感。
6. 音乐很不错，专门看了一下音乐指导是钱雷，周深《花开忘忧》，王菲《如愿》，陈奕迅《孤勇者》，毛不易《无名的人》等歌曲的作曲，制作人！后面还有雪琴的《小柒》，当初出单曲的时候还奇怪，歌词和她本身并不符合啊，原来用在这部剧里！

可惜只有12集，期待能拍第二季！",湛蓝02
57,多好玩啊  才这么多评论呀？？,记得和我看剧
58,超级好看，儿豁,聆雨文玩（欢迎转图）
59,看不下去啊，雪琴,爱喝橙汁de羊舌丹亦
60,不是说喜剧吗，笑点在哪,晏政
61,笑点在哪，不是说喜剧吗,晏政
62,爱奇艺可算有部靠谱的喜剧了[666],你抽的烟2019
63,"感觉蛮好看的，本来以外电影呢
",爱上狐狸先森的小兔子
64,雪琴看的是紫金陈的小说《低智商犯罪》[呲牙][呲牙],网剧追逐者
65,太好看了吧，荒诞rap搞笑大融合，相当不错的情景喜剧,Cutelin小公举
66,额，这个有点综艺里说的真人剧的意思。都是酒馆！,拿手英语的金龙
67,第一集实在看不下去，看一半跳第二集看看,兮兮兮……🤩
68,这剧是真的好看，从第二集开始就特搞笑了，有乐有情感，真的不错,呜呼啦呼黑魔变身古娜拉
69,字母太小，干脆别弄，弄了看不见，鸡肋,喜欢吃冰激凌de你是猪
70,建议 加字幕。没字幕看不下去呀！雪琴。,小猪哄哄⭐
71,看了几分钟，果断放弃。,Zjsicnx
72,说实话这种音乐形式的剧真的非常好，喜欢说唱喜欢二手玫瑰,九龍：李大刀
73,说实话啊我还挺喜欢龙哥的，挺可爱,喜欢柔道de叔孙修远
74,这评论，真有意思，有说超级不好看的，但是我觉得超级好看。好久没看过这么好看的剧了[捂脸笑],张鑫69460
75,字幕为啥这么小…,用户6db55cb7
76,哈哈哈 一看就想吃零食,芮了个芮
