,0,1
0,凭良心说话，这剧能不能看，好看不好看。,小小的E噔
1,这个应该是郭敬明以前的小说吧，南音东黎西绝还有个小婴儿北北,朱长江？
2,最近看的都是破案剧情的 今天这个能缓解下 一下更6集 棒里很,摄氏度噻
3,那个时候都有宜家了吗[捂脸笑],ERICWSHE
4,主题曲放在这里面，真是白瞎，这剧这么烂，怎么配得上那英唱的主题曲？[捂脸笑],宁诗苒
5,为什么让马伊琍来演这个角色[捂脸笑][捂脸笑][捂脸笑],🌻沙
6,没看过，先问一下，讲的是姐弟恋吗？剧里面马伊琍和白宇是一对？[色][色][色][666][666][666],月下闻人🌸🌸
7,凭良心说，头10分钟以为只是口水剧，半集的时候，它的质感，我要追了。[应援],幕容雨墨
8,好笑又好哭呜呜呜[微笑][微笑][微笑][微笑],鹅城太平了太挑挑挑那那那了
9,原著党来啦！《西决》《东霓》《南音》伴随着我整个高中生活，总体来说，这部剧还是挺还原的，原著里很多的场景都展现出来了，但就是这个选角啊，我心中的东霓应该是倪妮或是钟楚曦那样风情万种的，南音应该是乔四美那样的，只有白宇演的西决还算符合原著，特别让我不理解的就是江薏的选角，真的让我接受不了，明明是一部很有情怀的一部小说改编的，结果呢，因为选角，毁了一部小说，这就是为什么没有乔家兄妹火的原因吧！,百时从欢第85105次顺顺利利
10,现在看剧，先看演员，看剧情，看评论，最后再决定看或不看，有一样的嘛，举个小手看看吧！,翩然入君怀
11,我怎么这么 讨厌马伊琍 不知道为什么,一切往前看！该着我倒霉
12,这剧真辣眼，这剧情只能说牛皮，真乱[微笑],矢口否认吃货
13,这个里面马伊琍的装扮让人没有想看下去的欲望[捂脸笑],红澜飞骑
14,#说说剧里学到的恋爱观#仙剑三里有句经典台词“爱，就要学会放手”。我觉得这句话挺这部剧里面的恋爱观的，一定要树立正确的恋爱观，面对不可能的关系，就要学会放手。,喜欢吃肉夹馍の叱利欣怿
15,我觉得是妈妈怕她受伤害，故意这样说的,徐婵婵6127
16,马伊琍发型真囚[捂脸笑][捂脸笑][捂脸笑],yik_mis
17,开始因为西决善良很喜欢西决这个角色，看到后面几集越发讨厌他了，他善良是自私的善良，而且喜欢道德绑架别人，要求陈宇呈医生救昭昭，无非就是他跟昭昭是师生关系，关系更加亲而已。而陈医生的善良公平是对每一个患者的。,霖霖飘
18,#谈谈原生家庭对你的影响#羡慕那些拥有美好童年的人，可以治愈人生所有的不如意。。。可有些人终究活成了自己讨厌的样子...我们把父母教给我们的人生观刻进了骨子里，却发现并不能过好这一生，于是  余生一边治愈自己的童年，一边去努力的活。。。可是原生家庭是我们逃避不了的注定的命运。,红泥xiao火炉
19,很nb的一部剧  推荐！[大拇指][大拇指][大拇指][大拇指]导演辛苦,新白娘子玩传奇
20,#谈谈原生家庭对你的影响#爱是救赎  但不是所有的人都能遇见那个对的人 原生态家庭带来的阴影与伤害 一生都无法治愈 也许你的父母同样出生在不幸的家庭 只有自己不断强大  学会谅解 包容 就是对自己的救赎[爱心],事时实诗
21,@男生女生向前冲第14季 是我大号[呲牙],男生女生向前冲第14季小号🎺
22,#谈谈原生家庭对你的影响#我感觉，虽然我在一个普通家庭长大的孩子，比别人幸运的是，父母从小很少苛责我很多事情，只说是尽力了就好，我感谢他们陪伴我这么多年，让我考研读大学，一直非常顺利？心系阳光，所以遇到很多事情，总会想着好的，一面不好的敌方就是承受挫折能力有点差，但这世上本来就没有完美的人。谢谢你们给了我无私的爱，才让我知道，无论何时何地，家永远是我的退路，底气和港湾？以后由女儿守护你们了。,晨曦中的女孩aaa
23,路灯广告牌批的[捂脸笑][捂脸笑],Idol Jackson
24,#谈谈原生家庭对你的影响#很幸运，父母给了我一个超有爱的家，有父亲高大身影的学识和出身，有母亲坚强的生命力和亲和力，有姐姐陪伴,畅呀👍
25,为什么马伊琍48岁了还演大姑娘？有点跳戏….,北飞的候鸟1120
26,我爸妈在我小时候一直都感情不是特别好，以至于我内心一直是恐惧婚姻的……,Phantomyyyyy
27,没看过，先问一下，讲的是姐弟恋吗？要认真看,122400067
28,"看完全剧，感觉必须说点什么。
一，马伊琍真是好看，完全吼住了！演的角色虽然比实际年龄小好多，但是颜值横扫一切！
演技更是不用说了！把握住了角色心理，张弛有度，很好的诠释了东霓这样难以拿捏的人物形象。
二，白宇，他的表演让人觉得他就是西决这个人，而不是电视剧中的人物，完全代入，真实感人。
三，三婶刘琳和大妈史可的表演也是非常到位。
四，编剧导演都棒棒哒！尤其是导演林妍，对整体的把握，那种淡淡的，毫不夸张，毫不造作，细腻的感觉，细节的把握堪称细致入微，让我不得不百度一下，看看究竟是何许人。结果竟然好多熟悉喜欢的剧出来了，看来对此剧的喜爱不是没来由了！
五，此剧没有道德说教，没有曲折的情节，没有离奇的噱头，没有波澜壮阔弘大叙事，有的就是平平淡淡的生活，人间真情，润物无声，丝丝缕缕，温暖人心。常常让人感觉不是在看戏，就是在陪伴他们一起经历人生的苦难，历尽沧桑仍然坚守善良。这样的剧对我们现在的社会是一锅滋补汤剂，可以安慰人心，唤起正能量，也能带给我们更多的勇气，面对世界，怀着更多的悲悯！感谢所有的创作者！[色][大拇指]",一休也老了
