,0,1
0,能不能找个猥琐点的大叔演这种猥琐的角色[捂脸笑][捂脸笑],九冬星回节
1,"刘奕君又奖励自己演一个坏人了！
刘叔已经不满于演反派了，这次的他选择演一个变态，不仅有小三，还有小四。CPU+精准把控人心，一整个演技大爆发。",今天也要看小说
2,有人是追了《消失的十一层》过来的吗？,提灯人Garron🍄
3,有谁和我一样是来看周迅的，举小手吧！,奔跑在孤傲的路上😚😚
4,#聊聊剧中的女性角色#“我卖的是法律服务，而不是我这个人，我没有义务对你唯命是从。”林律妥妥的女强人，slay全场！,同珠🤗
5,"清纯女大拒绝百平花园豪宅，拒绝司机保姆，拒绝每月5000美金
盲猜一个复仇本，是不是女主设下的局，为了掌握成功的证据，牺牲自己！！大家觉得呢！",萌萌小阿尕呀
6,"#聊聊剧中的女性角色#该剧开篇以一起第三方匿名报警案件展开后面的故事，林阚是一名律师，专业能力很强，她接受了嫌疑人成功的委托，推翻了受害人赵寻的指控，然而事实真相并不是她所想的那样，情感和正义让林阚难以抉择。

林阚是顶级律师，探寻社会真相，捍卫正义，可是她却陷入了职业操守和内心情感双重折磨，到底林阚能不能冲破牢笼，实现解脱呢?这还要等电视剧播出后才知道。

成功是一名商界大佬，表面上是完美男性，实际上是衣冠禽兽，他追求名利，被欲望所驱使，职场性骚扰公司员工赵寻，在被匿名举报后，找到了林阚，希望林阚帮他摆脱罪名。

赵寻是个柔弱胆怯，不敢反抗上司的可怜女孩，她成为了成功手里的羔羊，精神和身体受到严重伤害，弱小又无助的她真的很惨。晏明是一名警察，正义感十足，为了寻找真相而努力，对那些受到伤害的女性表示同情。

李怡是赵寻的辩护律师，她有着跟赵寻同样的感受，为了帮助赵寻，她宁愿搭上自己的职业生涯。辛路是成功的妻子，他们已经貌合神离，经常因为一件事吵得不可开交，为了利益，两个人还得装出恩爱的模样。

米芒是一个遭受家暴的女人，她长期被丈夫实施暴力，已经遍体鳞伤，她也要为自己讨回公道。总之这部剧都是以女性受伤害为主的案件，林阚的选择也会成为大家关注的焦点。",马心仪_qq1354
7,好看吗？还没开通会员[捂脸笑][捂脸笑][捂脸笑]在线等,jnqssj
8,#聊聊剧中的女性角色#她给了我一种仿佛就是自己正在经历的感觉，很无助，表达了自己所遭遇的事情，敢于报警。在无助的生活中选择了反抗，需要特别大的勇气去指控。,忘记nj
9,#聊聊剧中的女性角色#赵寻目前看起来涉世未深楚楚可怜，但是凭直觉不会这么简单,PasserbyЯ
10,#聊聊剧中的女性角色#女性角色最明显的就是赵寻，她其实也清楚自己所遭遇的事情，但是也表现出来了强烈的创伤应激反应，但仍然不愿意指认。事实上，很多时候，世人是对于女性有着误解的，会有着不一样的有色眼镜。一个人做事情必须要有诸多的考量，无法放肆。,走进大自然，走进你
11,#聊聊剧中的女性角色#姐姐真是太帅了！！！！我真的超爱，这种事业型女强人！！！希望她可以一直坚持自己的底线，一直这么帅下去，让哪些坏人受到法律的严惩！！！！,再嗦ʸⁱ口粉
12,"#聊聊剧中的女性角色#林允这一开头的地方有那种破碎感了，给我眼前一亮的感觉。希望生活中不要再有这种事情发生了
如果真的发生这种事情了，也不要觉得害怕或者丢人，大胆报警，保护自己的权益",再嗦ʸⁱ口粉
13,喜欢悬疑，推理或有些烧脑的剧情，有一样的嘛，举个小手看看吧！,翩然入君怀
14,有谁和我一样特别喜欢悬疑剧？有没有？超级喜欢。消失的11层跟这部剧一起追。又有新剧，可以看了高兴,七宝茶
15,刷到片段过来的，堪称神级阵容，越来越多女性视角的局我好爱，希望不要高开低走了[应援][应援][应援],月见里o
16,刚看  第一集  刘奕君老师是被陷害还是被拖进一个大局里面不好定性    林允饰演的赵寻是演技超群还是成为局中的牺牲品  这些可能性真不好说  线索太少了,郝建郝建啊
17,#聊聊剧中的女性角色#从赵寻的身上看到是的是破碎感，从林律的身上看到的是正义感，从晏明的身上看到的是果断，从李怡的身上看到的是职场女性的干练，从辛路身上看见的是躲不开的烦恼。每一个女性其实都有着自己的故事，都有着自己的纠葛,顺便取一个名字
18,十一层好看吗,余代表🇨🇳
19,我都不敢评论了，昨天评论了一下，有个杠精跟我一直争吵，吵到凌晨四点等他不回信息，我才敢去洗澡，生怕他觉得我是怕他了。,點點
20,就是在等周迅的这部剧[爱心][应援][666],李飞george
21,有谁和我一样是来看刘奕君的，举小手吧！,奔跑在孤傲的路上😚😚
22,25岁，不小了!又想得到好处，又不想失去所谓的尊严!,喜欢涮火锅の申屠德元
23,这个女孩一看就是假清纯！一副半推半就的样子,言少语熙
24,#聊聊剧中的女性角色#喜欢林律师，虽然不知道真相是什么，但是他会对于事情进行调查，用无可辩驳的事实去让真相大白。,狗🐶里狗🐶气
25,#聊聊剧中的女性角色#林律，会为了真相而奋斗，而不是为了利益而奋斗。卖的是法律服务，而不是这个人。看起来就超酷的，好不好？,余音绕梁梁
26,"#聊聊剧中的女性角色#赵寻没有喝断片，并不是一个完美的受害人，成功也没有那么君子，起码他在听到找寻要回家的时候，还是扶她进入了电梯。
就算赵寻有些小心思，不代表她就可以被羞辱网暴，作为强权者的成功，就可以毫无心理负担地强迫她。也就对应了剧名——《不完美受害人》。",左耳右东😃
27,赵寻的状态简直绝了，她在面对医生的检查时把那种恐惧与害怕表现的淋漓尽致，一个女生经历了如此事情还要配合调查，面对舆论风暴，[大拇指]赵寻你很棒,你好。。有
28,#聊聊剧中的女性角色#赵寻目前看起来涉世未深楚楚可怜，不知道后面会不会有反转。,🎈My欧气满满🐮
