,0,1
0,别争了  我才是最晚的一批[微笑],厌你心不誠
1,有没有跟我一样的 6月份才开始看,NK、南客
2,不知道有多少人，默默的等着广告！翻看着评论，而这一秒，你刚好看到我的评论！陌生人你好！祝你全家幸福！2023兔年事事如意！财源广进！愿大家往后一切顺利平安！,一撇一捺、默写人生〆
3,热度过了吗？我才开始追,刘惠子l
4,我现在无聊才想起来看看，我是最晚的这一批了嘛,诗于南笙
5,有没有人和我一样到现在一集也没看的，现在才准备追剧,💞💞  博～硕💗 💗
6,现在看剧，先看演员，看剧情，看评论，最后再决定看或不看，有一样的嘛，举个小手看看吧吧！这部剧好多老戏骨啊！这部剧期待值拉满啦！,翩然入君怀
7,有没有人，7.19号看的呀，应该是最后一批吧[微笑],柳妹美
8,我应该是最晚的一批了吧，今天。才。准备看[应援],挨v吃v句VB
9,都别争了，我才是最晚的一批。[应援],鸭嘴兽—
10,喜欢张颂文这个演员，演的太好了，好多年没看到这种水平的电视剧了，演员演技真的很棒，流量明星的戏完全不想看,海洋395
11,我最晚！！！哈哈哈哈,文武双全高小妹
12,有没有人和我一样 七月才看[捂脸笑],亓冖啊
13,有没有和我一样五月才看的,1005471317
14,支持张译，虽然不帅，但是演技封神[666][666][666],爱嗑糖的老太
15,姐妹们，咋就是说热度都过去了，我才开始刷第一集,爱吃拉面の高堂夏岚
16,都别吵我才是最晚的一批,[ 有人@我 ]
17,有没有和我一样的4月才开始看[捂脸笑],彩虹战士~缘
18,从《鸡毛飞上天》中认识知道男主的，他饰演的陈江河，演技真的是太好了。还有他的《万里归途》……,奔跑在孤傲的路上😚😚
19,有没有和我一样7月28开始看的[应援],老嗨又硬颈！
20,我刚开始看，最晚的了吧[捂脸笑],一只小小小？
21,"我应该是最后一批了吧
",个性飞扬523
22,好开心，没有小鲜肉，都是老戏骨，[爱心][爱心][爱心][色][色][色][应援][应援][应援][666][666][666][大拇指][大拇指][大拇指],开心😁每一天☀
23,我才开始看，休假才舍得开会员[捂脸笑][捂脸笑][捂脸笑],大雄哦🍑
24,我才是最晚看的,小芋降临
25,高考完了，来追了，我才是最晚的一批,the_eight＆ adam
26,何德何能，我能看到张译和张颂文同台飙戏！第一集就看到好多老戏骨啊，这是什么神仙阵容[色]无脑追了,瞌睡家jj
27,啥也别说了 我才是最晚追的,崔美璇
28,是我最后开始看的吗[捂脸笑],咳咳，💦
29,有没有跟我一样的，现在刚开始第一集,好吧，我叫圆圆
30,刚刚看，没我晚吧,zjsbbzj
31,终于知道为什么高启强后来那么厉害了，因为人善被人欺啊！,Jx无若
32,最晚的一批没人在了吧 现在开始第一集[应援][应援],2565206191
33,感觉没有看够，现在来二刷，有二刷的吗？,微微笑111
