,0,1
0,还没看片子，我自己就是姐弟恋[捂脸笑]我二婚他头婚。我结婚的时候他跟他妈来吃过我的酒[捂脸笑][捂脸笑]我比他大十二岁零九个月。他爱上我时我33，他20。我今年五十了，结婚十六个年头了，我开始总在年龄的问题上纠结，第一次婚姻的失败让我总觉得他是一时冲动，跟他说你要想通了随时可以离开，也说好不要孩子。现在十六个年头了，我早忘了我比他大的事了[捂脸笑][捂脸笑]生活中我依然简单快乐，他依然坚定包容。所以我个人认为：别人眼里的笑话可以变成神话，别人眼里的神话也能变成笑话。时间是最好的试金石，年龄不是问题，遇见那个对的人才是关键！[爱心][爱心][爱心],独上兰舟$
1,这种剧本还是少写一点，都是二婚女嫁一个头婚男的钻石王老五。这种情况当然有，但并不多。有些女性电视剧看多了，已经忘记生活原本的样子，还想着我现在的老公不行，假如我离婚了，我可能会找到更好的！？现实点吧，男女都一样，离异带小孩的想要嫁给又帅又有钱的就像刮彩票一样，除非你本身就很优秀，可是怎样算优秀呢？健身， 美食，旅游，还是说连性格慢热都算优秀✔,爱嗑瓜子的胡母鸿卓
2,对男女主不感冒，一开始有点硬着头皮看，越看越好看，尤其是男女主对手戏，太精彩了！殷桃的醉酒戏绝了，从没看过那么自然的演技,爱吃🥝小仙女🧚‍♀️
3,殷桃的嘴为什么总合不上张着，说话总一种语气，一点不自然！人世间里也是如此。,陈涵_qq1217
4,看开头就觉得很造作，看不下去[捂脸笑],兢兢业业的ChiaraHu
5,#对姐弟恋你怎么看#其实大家口中说的姐弟恋，我觉得这根本和年龄没有关系，只是一个心理层次上面的差别，有的男生比较小，但他们的心理年龄其实已经比同龄人更加成长，那就不存在是否姐弟恋的问题。而且一段恋情的是两个人相互相信相互扶持的，只要大家都能用心的去维持两个人的这段感情，和谐相处，姐弟恋呢是非常幸福的，所以说姐弟恋跟年龄真的没有关系的，只要找到的那个人是合适自己的，那这就够了。,左耳右东😃
6,#对姐弟恋你怎么看#怎么看，如果赌错了就是白白用自己青春教他长大，赌对了还要顾虑自己四五十岁的时候，他还在意气风发的壮年，会不会嫌弃自己，唉！愿有情人终成眷属吧！,吸氧气的懂事
7,好吧，我以为是秦岚拍的[捂脸笑],爱吃大闸蟹的夏侯梦蕊
8,我是女生，很难接受差5岁以上的姐弟恋，但能接受差5岁以上的兄妹恋……也不知道为啥，或许是觉得男性发育比女性晚两年且男性不易衰老，女性就不行。。很违和,蒲公英的小阮儿
9,怎么现在的电视剧都是姐弟恋？很流行嘛？找个很搭的男女主很难吗,离骚96666
