,0,1
0,她为啥是谍战剧第一名  [捂脸笑][捂脸笑] 谁能告诉我[捂脸笑][捂脸笑],傻狗wy
1,刷完孟宴臣来看看今年竟然还播了这么一部，有点不好看[捂脸笑]怕是雷剧,橘子味布丁11
2,每当看到抗战时期，剧中人物男人西装革履，油头粉面，皮鞋锃亮，女人胭脂口红，衣着暴露，无论剧情再好，我只给7分。简直不尊重历史！,炮哥牛🐮
3,看出来了 大勋花一路走来真的不容易 就像他说的 不接综艺没流量就没人找他演戏 以前接不到好剧本 现在终于火了 希望以后能演到自己想演的角色,什么神么鬼
4,我是从叛逆者排名过来的，据说这个第一，我来看看评论[捂脸笑],渐入佳境郭郭郭
5,有魏大勋的片还能排第一…真是瞎说。这种小鲜肉还是去拍爱情片去吧。[大拇指],我是刘家大少爷
6,这是新片，还是库存还是今年才许可播出啊[呲牙][呲牙][呲牙][呲牙],追剧♥青年
7,希望大勋以后能接到好的剧本,什么神么鬼
8,我来看大勋花了,💫清梦
9,第一印象就是演员，看了几秒放弃,柔道五段
10,张若昀的 后妈[应援] 冯越  哈哈  长得还蛮带劲  就是捧不红  奇怪了,爱的春天华尔兹
11,妆容还行，那时候的大上海确实很现代,溯源之
12,我也怀疑这片怎么排的第一[呲牙],炫002022
13,女主路人甲，走后门了吗？弃剧,福宝冷瞳
14,又是这种抗日神剧，弃了,品貌非凡的平凡之路
15,放下对于作品的评价，我只为大勋哥哥来的[大哭][大哭][大哭],幻乐情隽
16,这俩年轻人演的什么玩应,嘎嘎哈哈呵呵哈哈
17,假、烂、无聊.......,A ᠲᠦᠬᠦᠷᠡᠩᠵᠠᠭᠠᠨ
18,来看魏大勋张子墨，压了7，8年的剧终于能看到啦[应援],晴天勋仔
19,魏大勋怎么就牺牲[捂脸笑][捂脸笑][捂脸笑],爱玩帆船の令狐敏思
20,抗日神剧怎么了？不比你们那些无脑偶像剧好看? ,aBillll☀
21,第一次看 还不错[色],crickers
22,刀影、光影、刀光枪影、风影、狐影、蝶影，一看剧名，有抗日神剧那味儿了[呲牙],金水鲤鱼
23,15年的大勋花，好嫩哈哈哈[色][应援]民国大勋扮相好帅,久谷🌸
24,这是今年的新片？还排名第一？！[捂脸笑],W水晶夙愿
25,有谁记得特工别闹[狗头]尤其是特工别闹的结尾[狗头][狗头][狗头],段明霄
26,wdx魏大勋八年前的剧都上了 还有什么是等不来的  [捂脸笑][捂脸笑][捂脸笑]期待嫩勋,川沙妲己。🎡
27,我也喜欢和冯越牵手[爱心],我是冯越老公
28,天上 下雨，下水道一滴水没有，神剧[大拇指],入江琴子971127
29,好端端的还整个慢动作[捂脸笑],👮爱理不理👷
30,鉴定完毕，神剧无疑,韦韦+卞卞
31,女主角演得要死不活的，一部好好的抗日大剧，演得没一点激情！,子燕 🌺
32,看到井这么干净，衣服这么干净，果断放弃了。,wdm3000
33,这剧压了那么多年今年才播[捂脸笑],我只是会煲汤
34,大勋花，我来看你啦[色][色][爱心][爱心],九思？。115687
35,还不如看柳云龙的谍战剧！！！,合家欢乐*^_^*幸福安康
36,哪有大户人家小姐半夜在街上晃悠的,郭郭炖大鹅🎉🌻
37,没想到有生之年还能看到灰雁的播出[捂脸笑][捂脸笑],缘分天空首席红娘魏了爱
38,又是一部神剧,不更新的电视剧就不要放第一集
39,啥玩意 ，发生枪战还傻子一样站那，不是蠢就是傻。弃剧,星空上的小王子
40,看着大勋我好出戏[捂脸笑],沐白纯子.
41,这个片也能排第一第二，看来大家的审美水平见底了。,清风_qqq2h81
42,好看好看，推荐推荐,妮妮1234567💘
43,这是今年新出的，怪不得我没看过,柯南4869🌽
44,来看魏大勋的张子墨，压了这么多年的剧，总算播了，还以为看不到了,虾饺😘❄
45,"以前佩服张晨光，现在看到张晨光的影视剧就一个字：躲？
",落落无尘870220
46,青春之城的聂总到这了,super_风云
47,今晚一下冒四个新片出来，太多了，看不过来,爱阅读的梁丘弘盛
48,风筝排了第四，刚看完，看看第一怎么样,jacksi1983
49,浓妆艳抹，挑战我的智商,硕果的妈咪
50,餐厅名字有点假了。凡尔赛是这两年才流行的网络词，那个时代怎么会有呢[捂脸笑],动动手指？
51,真厉害 这女的 绝对练过十年武术  大铁盖子说拽就拽  ,狂人DJ
52,不合乎逻辑，乱七八糟！还排第一！,凤飞翔😝
53,冲着吴承轩演的才看[微笑][微笑][微笑][色][色],爱喝果汁的亓官思萌
54,上面下着雨，下水道竟然没一点水，,汝州纸坊
55,这是刷的排名吗？[捂脸笑][捂脸笑],南宫元翰521
56,太假，放弃,爱了小哥
57,看见这个带着面具奔跑的镜头，我差点吐出来。。。。,行云流水winyahoo
